date,expiry,spot_close,atm_strike,CE,PE
2025-10-24,2025-10-30,25795.15,25800,NIFTY_20251030_25800CE,NIFTY_20251030_25800PE
2025-10-27,2025-10-30,25966.05,25950,NIFTY_20251030_25950CE,NIFTY_20251030_25950PE
2025-10-28,2025-10-30,25936.2,25950,NIFTY_20251030_25950CE,NIFTY_20251030_25950PE
2025-10-29,2025-10-30,26053.9,26050,NIFTY_20251030_26050CE,NIFTY_20251030_26050PE
2025-10-30,2025-10-30,25877.85,25900,NIFTY_20251030_25900CE,NIFTY_20251030_25900PE
2025-10-31,2025-11-06,25722.1,25700,NIFTY_20251106_25700CE,NIFTY_20251106_25700PE
2025-11-03,2025-11-06,25763.35,25750,NIFTY_20251106_25750CE,NIFTY_20251106_25750PE
2025-11-04,2025-11-06,25597.65,25600,NIFTY_20251106_25600CE,NIFTY_20251106_25600PE
2025-11-06,2025-11-06,25509.7,25500,NIFTY_20251106_25500CE,NIFTY_20251106_25500PE
2025-11-07,2025-11-13,25492.3,25500,NIFTY_20251113_25500CE,NIFTY_20251113_25500PE
2025-11-10,2025-11-13,25574.35,25550,NIFTY_20251113_25550CE,NIFTY_20251113_25550PE
2025-11-11,2025-11-13,25694.95,25700,NIFTY_20251113_25700CE,NIFTY_20251113_25700PE
2025-11-12,2025-11-13,25875.8,25900,NIFTY_20251113_25900CE,NIFTY_20251113_25900PE
2025-11-13,2025-11-13,25879.15,25900,NIFTY_20251113_25900CE,NIFTY_20251113_25900PE
2025-11-14,2025-11-20,25910.05,25900,NIFTY_20251120_25900CE,NIFTY_20251120_25900PE
2025-11-17,2025-11-20,26013.45,26000,NIFTY_20251120_26000CE,NIFTY_20251120_26000PE
2025-11-18,2025-11-20,25910.05,25900,NIFTY_20251120_25900CE,NIFTY_20251120_25900PE
2025-11-19,2025-11-20,26052.65,26050,NIFTY_20251120_26050CE,NIFTY_20251120_26050PE
2025-11-20,2025-11-20,26192.15,26200,NIFTY_20251120_26200CE,NIFTY_20251120_26200PE
2025-11-21,2025-11-27,26068.15,26050,NIFTY_20251127_26050CE,NIFTY_20251127_26050PE
2025-11-24,2025-11-27,25959.5,25950,NIFTY_20251127_25950CE,NIFTY_20251127_25950PE
2025-11-25,2025-11-27,25884.8,25900,NIFTY_20251127_25900CE,NIFTY_20251127_25900PE
2025-11-26,2025-11-27,26205.3,26200,NIFTY_20251127_26200CE,NIFTY_20251127_26200PE
2025-11-27,2025-11-27,26215.55,26200,NIFTY_20251127_26200CE,NIFTY_20251127_26200PE
2025-11-28,2025-12-04,26202.95,26200,NIFTY_20251204_26200CE,NIFTY_20251204_26200PE
2025-12-01,2025-12-04,26175.75,26200,NIFTY_20251204_26200CE,NIFTY_20251204_26200PE
2025-12-02,2025-12-04,26032.2,26050,NIFTY_20251204_26050CE,NIFTY_20251204_26050PE
2025-12-03,2025-12-04,25986.0,26000,NIFTY_20251204_26000CE,NIFTY_20251204_26000PE
2025-12-04,2025-12-04,26033.75,26050,NIFTY_20251204_26050CE,NIFTY_20251204_26050PE
2025-12-05,2025-12-11,26186.45,26200,NIFTY_20251211_26200CE,NIFTY_20251211_26200PE
2025-12-08,2025-12-11,25960.55,25950,NIFTY_20251211_25950CE,NIFTY_20251211_25950PE
2025-12-09,2025-12-11,25839.65,25850,NIFTY_20251211_25850CE,NIFTY_20251211_25850PE
2025-12-10,2025-12-11,25758.0,25750,NIFTY_20251211_25750CE,NIFTY_20251211_25750PE
2025-12-11,2025-12-11,25898.55,25900,NIFTY_20251211_25900CE,NIFTY_20251211_25900PE
2025-12-12,2025-12-18,26046.95,26050,NIFTY_20251218_26050CE,NIFTY_20251218_26050PE
2025-12-15,2025-12-18,26027.3,26050,NIFTY_20251218_26050CE,NIFTY_20251218_26050PE
2025-12-16,2025-12-18,25860.1,25850,NIFTY_20251218_25850CE,NIFTY_20251218_25850PE
2025-12-17,2025-12-18,25818.55,25800,NIFTY_20251218_25800CE,NIFTY_20251218_25800PE
2025-12-18,2025-12-18,25815.55,25800,NIFTY_20251218_25800CE,NIFTY_20251218_25800PE
2025-12-19,2025-12-25,25966.4,25950,NIFTY_20251225_25950CE,NIFTY_20251225_25950PE
2025-12-22,2025-12-25,26172.4,26150,NIFTY_20251225_26150CE,NIFTY_20251225_26150PE
2025-12-23,2025-12-25,26177.15,26200,NIFTY_20251225_26200CE,NIFTY_20251225_26200PE
2025-12-24,2025-12-25,26142.1,26150,NIFTY_20251225_26150CE,NIFTY_20251225_26150PE
2025-12-26,2026-01-01,26042.3,26050,NIFTY_20260101_26050CE,NIFTY_20260101_26050PE
2025-12-29,2026-01-01,25942.1,25950,NIFTY_20260101_25950CE,NIFTY_20260101_25950PE
2025-12-30,2026-01-01,25938.85,25950,NIFTY_20260101_25950CE,NIFTY_20260101_25950PE
2025-12-31,2026-01-01,26129.6,26150,NIFTY_20260101_26150CE,NIFTY_20260101_26150PE
2026-01-01,2026-01-01,26146.55,26150,NIFTY_20260101_26150CE,NIFTY_20260101_26150PE
2026-01-02,2026-01-08,26328.55,26350,NIFTY_20260108_26350CE,NIFTY_20260108_26350PE
2026-01-05,2026-01-08,26250.3,26250,NIFTY_20260108_26250CE,NIFTY_20260108_26250PE
2026-01-06,2026-01-08,26178.7,26200,NIFTY_20260108_26200CE,NIFTY_20260108_26200PE
2026-01-07,2026-01-08,26140.75,26150,NIFTY_20260108_26150CE,NIFTY_20260108_26150PE
2026-01-08,2026-01-08,25876.85,25900,NIFTY_20260108_25900CE,NIFTY_20260108_25900PE
2026-01-09,2026-01-15,25683.3,25700,NIFTY_20260115_25700CE,NIFTY_20260115_25700PE
2026-01-12,2026-01-15,25790.25,25800,NIFTY_20260115_25800CE,NIFTY_20260115_25800PE
2026-01-13,2026-01-15,25732.3,25750,NIFTY_20260115_25750CE,NIFTY_20260115_25750PE
2026-01-14,2026-01-15,25665.6,25650,NIFTY_20260115_25650CE,NIFTY_20260115_25650PE
2026-01-16,2026-01-22,25694.35,25700,NIFTY_20260122_25700CE,NIFTY_20260122_25700PE
2026-01-19,2026-01-22,25585.5,25600,NIFTY_20260122_25600CE,NIFTY_20260122_25600PE
2026-01-20,2026-01-22,25232.5,25250,NIFTY_20260122_25250CE,NIFTY_20260122_25250PE
2026-01-21,2026-01-22,25157.5,25150,NIFTY_20260122_25150CE,NIFTY_20260122_25150PE
