position_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,exit_reason
POS-1717c39e7adc,NSEI,BUY,1,25965.0,25703.69921875,2026-07-11T00:48:56.793414,2026-07-11T00:48:56.805272,-261.30078125,STOP_LOSS
POS-9ed291cedd4b,NSEI,BUY,1,25724.599609375,26248.05078125,2026-07-11T00:48:56.805447,2026-07-11T00:48:56.815255,523.451171875,TARGET
POS-2dd0c7e03bff,NSEI,BUY,1,26247.30078125,25983.05078125,2026-07-11T00:48:56.815421,2026-07-11T00:48:56.819755,-264.25,STOP_LOSS
POS-38a0af62e9bb,NSEI,BUY,1,25974.05078125,25710.94921875,2026-07-11T00:48:56.819923,2026-07-11T00:48:56.821184,-263.1015625,STOP_LOSS
POS-c81558a6d742,NSEI,BUY,1,25689.150390625,25171.75,2026-07-11T00:48:56.821338,2026-07-11T00:48:56.825419,-517.400390625,STOP_LOSS
POS-3f040db78984,NSEI,BUY,1,25242.400390625,24970.19921875,2026-07-11T00:48:56.825586,2026-07-11T00:48:56.825972,-272.201171875,STOP_LOSS
POS-65bdd924a492,NSEI,BUY,1,24968.349609375,26264.900390625,2026-07-11T00:48:56.826120,2026-07-11T00:48:56.832749,1296.55078125,TARGET
POS-5553c3d3fbd4,NSEI,BUY,1,25783.349609375,25525.349609375,2026-07-11T00:48:56.832916,2026-07-11T00:48:56.836180,-258.0,STOP_LOSS
POS-ae44c8c3f223,NSEI,BUY,1,25552.150390625,25296.25,2026-07-11T00:48:56.836360,2026-07-11T00:48:56.851979,-255.900390625,STOP_LOSS
POS-8487885ac572,NSEI,BUY,1,25314.69921875,24723.400390625,2026-07-11T00:48:56.852167,2026-07-11T00:48:56.853091,-591.298828125,STOP_LOSS
POS-928365155568,NSEI,BUY,1,24870.400390625,24621.5,2026-07-11T00:48:56.853253,2026-07-11T00:48:56.854043,-248.900390625,STOP_LOSS
POS-677e1c0c7b85,NSEI,BUY,1,24613.150390625,23868.05078125,2026-07-11T00:48:56.854194,2026-07-11T00:48:56.856528,-745.099609375,STOP_LOSS
POS-b7d2cd5b134f,NSEI,BUY,1,23746.94921875,24287.099609375,2026-07-11T00:48:56.856698,2026-07-11T00:48:56.857735,540.150390625,TARGET
POS-ef25622cdc70,NSEI,BUY,1,24197.099609375,23945.0,2026-07-11T00:48:56.857888,2026-07-11T00:48:56.859614,-252.099609375,STOP_LOSS
POS-52073112e81c,NSEI,BUY,1,23930.400390625,23686.599609375,2026-07-11T00:48:56.859786,2026-07-11T00:48:56.860274,-243.80078125,STOP_LOSS
POS-0143d7860611,NSEI,BUY,1,23597.94921875,23348.75,2026-07-11T00:48:56.860432,2026-07-11T00:48:56.861668,-249.19921875,STOP_LOSS
POS-6edae565dd23,NSEI,BUY,1,23368.599609375,23128.05078125,2026-07-11T00:48:56.861825,2026-07-11T00:48:56.862525,-240.548828125,STOP_LOSS
POS-04f03058b011,NSEI,BUY,1,23136.55078125,23603.650390625,2026-07-11T00:48:56.862674,2026-07-11T00:48:56.864689,467.099609375,TARGET
POS-e4fb03ac2272,NSEI,BUY,1,23600.0,23209.099609375,2026-07-11T00:48:56.864832,2026-07-11T00:48:56.866117,-390.900390625,STOP_LOSS
POS-5ebbd01d68d3,NSEI,BUY,1,23291.400390625,23055.400390625,2026-07-11T00:48:56.866279,2026-07-11T00:48:56.867264,-236.0,STOP_LOSS
POS-a4049ac97691,NSEI,BUY,1,22994.400390625,22658.900390625,2026-07-11T00:48:56.867419,2026-07-11T00:48:56.868653,-335.5,STOP_LOSS
POS-47d019f3a01e,NSEI,BUY,1,22686.25,23156.099609375,2026-07-11T00:48:56.868827,2026-07-11T00:48:56.870814,469.849609375,TARGET
POS-e8e19c61609a,NSEI,BUY,1,23167.69921875,22935.44921875,2026-07-11T00:48:56.870943,2026-07-11T00:48:56.872360,-232.25,STOP_LOSS
POS-121960318f56,NSEI,BUY,1,22938.25,22574.69921875,2026-07-11T00:48:56.872510,2026-07-11T00:48:56.873232,-363.55078125,STOP_LOSS
POS-9428d4944e2d,NSEI,BUY,1,22520.30078125,22291.19921875,2026-07-11T00:48:56.873384,2026-07-11T00:48:56.874357,-229.1015625,STOP_LOSS
POS-04f6d1a31f34,NSEI,BUY,1,22305.099609375,22878.900390625,2026-07-11T00:48:56.874503,2026-07-11T00:48:56.874710,573.80078125,TARGET
POS-bb48541a0c10,NSEI,BUY,1,22842.94921875,22383.400390625,2026-07-11T00:48:56.874861,2026-07-11T00:48:56.875954,-459.548828125,STOP_LOSS
POS-6f189773f415,NSEI,BUY,1,22241.599609375,22687.150390625,2026-07-11T00:48:56.876110,2026-07-11T00:48:56.877121,445.55078125,TARGET
POS-4526140bad78,NSEI,BUY,1,22701.650390625,23855.150390625,2026-07-11T00:48:56.877254,2026-07-11T00:48:56.879383,1153.5,TARGET
POS-bc5f6dc29b8e,NSEI,BUY,1,23844.69921875,23584.30078125,2026-07-11T00:48:56.879528,2026-07-11T00:48:56.882506,-260.3984375,STOP_LOSS
POS-ae0593a1870b,NSEI,BUY,1,23579.94921875,24166.099609375,2026-07-11T00:48:56.882646,2026-07-11T00:48:56.883723,586.150390625,TARGET
POS-7269e2e00347,NSEI,BUY,1,24225.5,23968.30078125,2026-07-11T00:48:56.883868,2026-07-11T00:48:56.889915,-257.19921875,STOP_LOSS
POS-33aba27cc8d3,NSEI,BUY,1,23973.650390625,24459.400390625,2026-07-11T00:48:56.890063,2026-07-11T00:48:56.898254,485.75,TARGET
POS-16ae78f93a29,NSEI,BUY,1,24455.400390625,24198.30078125,2026-07-11T00:48:56.898406,2026-07-11T00:48:56.898978,-257.099609375,STOP_LOSS
POS-2f9b0ad416da,NSEI,BUY,1,24218.400390625,23943.19921875,2026-07-11T00:48:56.899129,2026-07-11T00:48:56.900164,-275.201171875,STOP_LOSS
POS-296885d6265f,NSEI,BUY,1,23917.69921875,23657.5,2026-07-11T00:48:56.900325,2026-07-11T00:48:56.901504,-260.19921875,STOP_LOSS
POS-9f3cb969ee52,NSEI,BUY,1,23634.650390625,23396.849609375,2026-07-11T00:48:56.901667,2026-07-11T00:48:56.902578,-237.80078125,STOP_LOSS
POS-167f8df0b637,NSEI,BUY,1,23393.25,23928.25,2026-07-11T00:48:56.902725,2026-07-11T00:48:56.910651,535.0,TARGET
POS-c952b4d61cb9,NSEI,BUY,1,23963.94921875,23685.400390625,2026-07-11T00:48:56.910808,2026-07-11T00:48:56.914666,-278.548828125,STOP_LOSS
POS-40309f8f97c0,NSEI,BUY,1,23522.25,23229.150390625,2026-07-11T00:48:56.914815,2026-07-11T00:48:56.915959,-293.099609375,STOP_LOSS
POS-c6f08b5b27d1,NSEI,BUY,1,23269.349609375,23984.849609375,2026-07-11T00:48:56.916113,2026-07-11T00:48:56.924736,715.5,TARGET
POS-e5188fe53b4b,NSEI,BUY,1,23962.150390625,24443.25,2026-07-11T00:48:56.924892,2026-07-11T00:48:56.938935,481.099609375,TARGET
POS-e756e3bbc2ee,NSEI,BUY,1,24445.400390625,24427.400390625,2026-07-11T00:48:56.939126,2026-07-11T00:48:56.939876,-18.0,END_OF_DAY
